,waktu,id,username,teks
72,2022-07-15 09:26:45,1547875306358198272,Hiring Now in Tech,b'RT @ai_jobsNET: HIRING: Senior Data Engineer / Remote https://t.co/IfnCwpDdwo #AI #MachineLearning #DataJobs #Jobsearch #MLjobs #bigdata #D\xe2\x80\xa6'
73,2022-07-15 09:22:59,1547874355475951617,A H M A D,b'@arsched Namaloom Data operator. Bewaquf smja hein awam ko inho ne.'
74,2022-07-15 09:20:45,1547873796823982086,Twitchi,b'RT @ai_jobsNET: HIRING: Data Engineering / Remote https://t.co/ZgjwlwCqFS #AI #MachineLearning #DataJobs #Jobsearch #MLjobs #bigdata #DataS\xe2\x80\xa6'
75,2022-07-15 09:19:43,1547873533572706304,Hiring Now in Tech,b'RT @ai_jobsNET: HIRING: Data Engineering / Remote https://t.co/ZgjwlwCqFS #AI #MachineLearning #DataJobs #Jobsearch #MLjobs #bigdata #DataS\xe2\x80\xa6'
76,2022-07-15 09:08:18,1547870660407357443,Fabricio Cavalcante,b'RT @ai_jobsNET: HIRING: Senior Data Engineer / Remote https://t.co/IfnCwpDdwo #AI #MachineLearning #DataJobs #Jobsearch #MLjobs #bigdata #D\xe2\x80\xa6'
77,2022-07-15 09:06:33,1547870219753832449,ai-jobs.net,b'HIRING: Senior Data Engineer / Remote https://t.co/IfnCwpDdwo #AI #MachineLearning #DataJobs #Jobsearch #MLjobs\xe2\x80\xa6 https://t.co/6IZpmNUe3o'
78,2022-07-15 09:04:12,1547869631351730177,ai-jobs.net,b'HIRING: Data Engineering / Remote https://t.co/ZgjwlwCqFS #AI #MachineLearning #DataJobs #Jobsearch #MLjobs\xe2\x80\xa6 https://t.co/kqThNH4WTF'
79,2022-07-15 06:21:55,1547828790042103813,Hiring Now in Tech,b'RT @ai_jobsNET: HIRING: Senior Data Engineer / San Francisco or Remote https://t.co/31w9tLzCZV #AI #MachineLearning #DataJobs #Jobsearch #M\xe2\x80\xa6'
80,2022-07-15 06:18:54,1547828030617227265,Hiring Now in Tech,"b'RT @ai_jobsNET: HIRING: Senior Data Engineer / San Francisco, CA https://t.co/4AbGD9OUSa #AI #MachineLearning #DataJobs #Jobsearch #MLjobs\xe2\x80\xa6'"
81,2022-07-15 06:05:53,1547824753804685316,ai-jobs.net,b'HIRING: Senior Data Engineer / San Francisco or Remote https://t.co/31w9tLzCZV #AI #MachineLearning #DataJobs\xe2\x80\xa6 https://t.co/t4iFrFctam'
82,2022-07-15 06:05:09,1547824570312249344,ai-jobs.net,"b'HIRING: Senior Data Engineer / San Francisco, CA https://t.co/4AbGD9OUSa #AI #MachineLearning #DataJobs #Jobsearch\xe2\x80\xa6 https://t.co/4T1y3oCs6r'"
83,2022-07-15 05:52:03,1547821275892285440,Ruby Matthews,"b'RT @vickyfarhan95: Hello @hrdbacot,\n\nAku lagi cari Data Engineer dgn requirement:\n- Min 2 YoE sbg Data Engineer\n- Pengalaman pake SQL dan P\xe2\x80\xa6'"
84,2022-07-15 03:15:51,1547781963029041152,FILKOM UB,b'Azura Labs Open Hiring. \n\nAzura Labs Open Hiring \xe2\x9c\xa8\n\nUntuk anda yang sudah berpengalaman menjadi senior data enginee\xe2\x80\xa6 https://t.co/OBiE4lo48H'
85,2022-07-15 01:51:08,1547760645499588609,godfrey™,"b'RT @ai_jobsNET: HIRING: Data Analyst (gn) / Berlin, Berlin, Germany https://t.co/8mCBr1HR6D #AI #MachineLearning #DataJobs #Jobsearch #MLjo\xe2\x80\xa6'"
86,2022-07-15 01:49:51,1547760321573507072,godfrey™,b'RT @ai_jobsNET: HIRING: Lead Data Engineer - Infrastructure / Bengaluru https://t.co/59r6IwMKDM #AI #MachineLearning #DataJobs #Jobsearch #\xe2\x80\xa6'
87,2022-07-15 01:42:14,1547758406773010432,UtilityJobs.com,b'RT @AllOilGasJobs: Senior Data Engineer https://t.co/FvriTE8sKK'
88,2022-07-15 01:42:13,1547758401647652864,UtilityJobs.com,b'RT @AllOilGasJobs: Senior Data Engineer https://t.co/pXVatCjFFJ'
89,2022-07-15 01:42:12,1547758396534730754,UtilityJobs.com,b'RT @AllOilGasJobs: Senior Data Engineer https://t.co/lyA85kJfka'
90,2022-07-15 01:42:11,1547758391287635970,UtilityJobs.com,b'RT @AllOilGasJobs: Senior Data Engineer https://t.co/9XcvrgPMSV'
91,2022-07-15 01:42:09,1547758386200031232,UtilityJobs.com,b'RT @AllOilGasJobs: Senior Data Engineer https://t.co/WMhXU2wWI4'
92,2022-07-15 01:41:07,1547758125603643393,oilandgasjobsonline,b'Senior Data Engineer https://t.co/FvriTE8sKK'
93,2022-07-15 01:41:06,1547758120352374784,oilandgasjobsonline,b'Senior Data Engineer https://t.co/pXVatCjFFJ'
94,2022-07-15 01:41:05,1547758115059159046,oilandgasjobsonline,b'Senior Data Engineer https://t.co/lyA85kJfka'
95,2022-07-15 01:41:03,1547758109791203328,oilandgasjobsonline,b'Senior Data Engineer https://t.co/9XcvrgPMSV'
96,2022-07-15 01:41:02,1547758104476938241,oilandgasjobsonline,b'Senior Data Engineer https://t.co/WMhXU2wWI4'
97,2022-07-15 00:33:43,1547741163918020608,JobNews.id,b'#lowongan #kerja Info  Senior Data Management Engineer Staff Pt Antam Kerja Tetap https://t.co/ZJjx90YYoc'
98,2022-07-15 00:17:43,1547737137952436225,Hiring Now in Tech,b'RT @ai_jobsNET: HIRING: Lead Data Engineer - Infrastructure / Bengaluru https://t.co/59r6IwMKDM #AI #MachineLearning #DataJobs #Jobsearch #\xe2\x80\xa6'
99,2022-07-15 00:11:11,1547735491709046784,Hiring Now in Tech,"b'RT @ai_jobsNET: HIRING: Data Analyst (gn) / Berlin, Berlin, Germany https://t.co/8mCBr1HR6D #AI #MachineLearning #DataJobs #Jobsearch #MLjo\xe2\x80\xa6'"
100,2022-07-15 00:08:17,1547734761203912705,Fabricio Cavalcante,b'RT @ai_jobsNET: HIRING: Lead Data Engineer - Infrastructure / Bengaluru https://t.co/59r6IwMKDM #AI #MachineLearning #DataJobs #Jobsearch #\xe2\x80\xa6'
101,2022-07-15 00:06:32,1547734323867967488,ai-jobs.net,b'HIRING: Lead Data Engineer - Infrastructure / Bengaluru https://t.co/59r6IwMKDM #AI #MachineLearning #DataJobs\xe2\x80\xa6 https://t.co/gwPk8RP1o0'
102,2022-07-15 00:04:18,1547733759927074816,Jakashi Bot,"b'RT @ai_jobsNET: HIRING: Data Analyst (gn) / Berlin, Berlin, Germany https://t.co/8mCBr1HR6D #AI #MachineLearning #DataJobs #Jobsearch #MLjo\xe2\x80\xa6'"
103,2022-07-15 00:04:00,1547733683712364544,ai-jobs.net,"b'HIRING: Data Analyst (gn) / Berlin, Berlin, Germany https://t.co/8mCBr1HR6D #AI #MachineLearning #DataJobs\xe2\x80\xa6 https://t.co/NXqYTJCVVD'"
104,2022-07-14 19:08:16,1547659262637137921,Fabricio Cavalcante,"b'RT @ai_jobsNET: HIRING: Data Engineer (gn) / Berlin, Berlin, Germany https://t.co/I15zgxGs3Y #AI #MachineLearning #DataJobs #Jobsearch #MLj\xe2\x80\xa6'"
105,2022-07-14 19:08:11,1547659241426628614,Hiring Now in Tech,"b'RT @ai_jobsNET: HIRING: Data Engineer (gn) / Berlin, Berlin, Germany https://t.co/I15zgxGs3Y #AI #MachineLearning #DataJobs #Jobsearch #MLj\xe2\x80\xa6'"
